XYDATA
! 11BM APS Si SRM 640d
! File no. =              6098 
! No. steps =             34500 
! Scan time =             AUG 15, 2014 21:05
! Sample name =     	  NIST SRM 640d (Si)
! Composition =           Silicon (Si)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.004  
! Monitor I0 [0] =        86940.6  
! Monitor I1 [0] =        71229.8  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_6097_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 7.8467 
! Calibrated wavelength = 0.413848 
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
1.08992       226.0741        21.7628
1.09092       244.3895        22.7845
1.09192       266.3262        23.7332
1.09292       265.4735        23.6853
1.09392       252.4613        23.2257
1.09492       218.8950        21.5408
1.09592       226.8471        21.8648
1.09692       297.5115        25.0639
1.09792       239.0633        22.5742
1.09892       230.8191        22.0850
1.09992       224.6941        21.8439
1.10092       220.1286        21.5644
1.10192       233.3579        22.2759
1.10292       238.5104        22.4813
1.10392       210.8315        21.1335
1.10492       213.5107        21.2063
1.10592       214.1122        21.1567
1.10692       232.1289        22.1270
1.10792       217.6056        21.3723
1.10892       194.3371        20.2774
1.10992       188.6416        19.9336
1.11092       249.3092        23.0091
1.11192       227.4275        21.8791
1.11292       212.2294        21.1911
1.11392       200.1760        20.5263
1.11492       243.0249        22.5761
1.11592       246.4716        22.9277
1.11692       215.2943        21.3056
1.11792       194.1641        20.2902
1.11892       226.8180        21.8882
1.11992       223.2069        21.7019
1.12092       189.9585        20.0963
1.12192       191.0557        20.1229
1.12292       250.0814        23.0303
1.12392       249.5954        23.0366
1.12492       242.9966        22.6713
1.12592       238.6840        22.4585
1.12692       215.5375        21.3511
1.12792       207.3967        20.8514
1.12892       210.5040        21.1482
1.12992       255.7635        23.2435
1.13092       201.3364        20.6314
1.13192       221.6834        21.5934
1.13292       240.3118        22.5238
1.13392       275.6983        24.1430
1.13492       230.6890        22.1134
1.13592       227.2260        21.9932
1.13692       199.2630        20.5730
1.13792       205.9440        20.9541
1.13892       221.2119        21.6754
1.13992       223.5142        21.7621
1.14092       243.9613        22.8318
1.14192       231.7631        22.2206
1.14292       224.0233        21.7246
1.14392       190.1482        20.1271
1.14492       226.5335        21.8963
1.14592       242.2178        22.7072
1.14692       248.0669        22.9390
1.14792       254.4720        23.1196
1.14892       241.2556        22.6585
1.14992       259.7225        23.4354
1.15092       222.3944        21.7586
1.15192       225.4465        21.8235
1.15292       209.5551        21.0211
1.15392       195.5556        20.3734
1.15492       242.1856        22.5949
1.15592       241.0853        22.6257
1.15692       226.4104        21.9332
1.15792       211.6996        21.1621
1.15892       233.6280        22.2304
1.15991       224.2162        21.7699
1.16091       210.4791        21.0577
1.16191       231.0438        22.2079
1.16291       240.7242        22.6525
1.16391       259.2208        23.3685
1.16491       231.8250        22.1230
1.16591       248.4854        22.9545
1.16691       226.8144        22.0065
1.16791       243.1801        22.7079
1.16891       254.7433        23.3121
1.16991       248.8886        23.0106
1.17091       237.3773        22.4424
1.17191       235.9963        22.4071
1.17291       247.2629        22.7962
1.17391       202.1292        20.6540
1.17491       210.6762        21.1379
1.17591       222.5878        21.7099
1.17691       220.5546        21.5782
1.17791       226.2405        21.9071
1.17891       240.0135        22.5266
1.17991       190.7308        19.9900
1.18091       206.9233        20.9535
1.18191       191.6582        20.1262
1.18291       209.2133        21.0195
1.18391       239.7011        22.6239
1.18491       172.1154        19.0028
1.18591       196.4543        20.4565
1.18691       222.2866        21.6696
1.18791       222.8458        21.7764
1.18891       197.6554        20.3933
1.18991       216.9694        21.4707
1.19091       175.1474        19.2360
1.19191       196.3214        20.4449
1.19291       217.4060        21.4654
1.19391       193.9730        20.3241
1.19491       185.5178        19.8793
1.19591       195.6789        20.3388
1.19691       202.0703        20.6234
1.19791       212.3155        21.2762
1.19891       210.0112        21.1092
1.19991       218.7041        21.5403
1.20091       195.5098        20.2747
1.20191       228.2262        21.9976
1.20291       183.7063        19.6184
1.20391       232.7536        22.2163
1.20491       205.9390        20.7596
1.20591       180.5009        19.5488
1.20691       203.3199        20.8010
1.20791       235.6687        22.3507
1.20891       213.7894        21.2990
1.20991       207.3752        21.0090
1.21091       212.1129        21.2108
1.21191       191.4346        20.1594
1.21291       213.9351        21.2362
1.21391       229.7600        22.1553
1.21491       203.5467        20.7540
1.21591       204.9461        20.8786
1.21691       238.7294        22.4622
1.21791       208.6295        20.9765
1.21891       222.3620        21.6473
1.21991       236.6437        22.3357
1.22091       234.2222        22.3618
1.22191       233.9874        22.3811
1.22291       211.0502        21.1707
1.22391       237.2746        22.5051
1.22491       215.2005        21.3089
1.22591       234.2452        22.2382
1.22691       222.6960        21.6743
1.22791       198.2383        20.4647
1.22891       220.2509        21.5346
1.22991       208.4359        20.8862
1.23091       234.1162        22.3030
1.23191       251.3843        23.0935
1.23291       247.0775        22.8962
1.23391       186.5471        19.8756
1.23491       214.7726        21.2531
1.23591       234.8930        22.3297
1.23691       199.5492        20.5510
1.23790       191.0625        20.0539
1.23890       207.7221        20.9990
1.23990       207.3228        20.9747
1.24090       213.8624        21.2412
1.24190       186.7476        19.8388
1.24290       204.8722        20.8058
1.24390       203.3213        20.7581
1.24490       236.7088        22.4004
1.24590       217.1890        21.4225
1.24690       166.4263        18.7438
1.24790       218.9016        21.5816
1.24890       213.1149        21.2642
1.24990       218.1792        21.4525
1.25090       219.4896        21.6197
1.25190       209.1028        21.0880
1.25290       231.8848        22.2015
1.25390       238.5905        22.5229
1.25490       210.9485        21.1030
1.25590       201.0504        20.6700
1.25690       189.9646        19.9795
1.25790       186.1831        19.7711
1.25890       171.7993        19.0251
1.25990       184.1670        19.7730
1.26090       221.8671        21.6540
1.26190       234.8314        22.3798
1.26290       204.5200        20.9098
1.26390       210.8347        21.1129
1.26490       197.3417        20.4381
1.26590       187.1408        19.8750
1.26690       196.4214        20.4059
1.26790       213.9998        21.2459
1.26890       197.5065        20.4508
1.26990       213.9424        21.2782
1.27090       224.6817        21.7488
1.27190       230.6711        22.1068
1.27290       232.4865        22.1251
1.27390       194.6916        20.2947
1.27490       201.9010        20.5962
1.27590       192.7107        20.1648
1.27690       205.1643        20.8568
1.27790       229.4244        22.0992
1.27890       195.6235        20.3353
1.27990       219.7260        21.5788
1.28090       193.2360        20.2310
1.28190       214.5961        21.3283
1.28290       190.7964        20.0817
1.28390       172.8578        19.1436
1.28490       207.1401        20.9096
1.28590       216.7697        21.4467
1.28690       203.7308        20.7740
1.28790       203.3711        20.7695
1.28890       207.6508        20.8718
1.28990       189.1856        20.0348
1.29090       192.5256        20.2664
1.29190       176.2896        19.3161
1.29290       212.0037        21.1405
1.29390       200.4944        20.6477
1.29490       202.9016        20.7985
