XYDATA
! Title:  11BM APS ZnO
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! Run no. =               4715 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 23:52
! Sample name =     	  NIST SRM 674b (ZnO)
! Composition =           Zinc Oxide
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.025  
! Monitor I0 [0] =        89933.5  
! Monitor I1 [0] =        73484.6  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted 
! Normalization factor  = 8.1812 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.698892 92.303846 12.851161
2.699891 82.039065 12.123036
2.700891 86.554798 12.433680
2.701891 94.680144 12.966935
2.702891 75.968638 11.659940
2.703891 79.290559 11.974885
2.704891 88.029819 12.607783
2.705890 80.564398 11.999491
2.706890 88.753914 12.497196
2.707890 100.265676 13.350803
2.708890 103.440020 13.637469
2.709890 91.731665 12.819252
2.710890 85.711088 12.369810
2.711890 87.419013 12.460263
2.712889 85.126853 12.425008
2.713889 74.629558 11.585611
2.714889 79.432041 11.913340
2.715889 101.700215 13.550078
2.716889 88.671720 12.557530
2.717889 92.257431 12.790998
2.718888 78.242790 11.804926
2.719888 102.623437 13.567115
2.720888 85.014519 12.408506
2.721888 87.887200 12.554305
2.722888 84.145570 12.212820
2.723888 83.947938 12.240668
2.724888 77.219900 11.817539
2.725887 103.094809 13.586809
2.726887 86.893625 12.551391
2.727887 89.652915 12.681933
2.728887 79.393689 11.974944
2.729887 83.904650 12.228362
2.730887 76.714928 11.675654
2.731886 76.965298 11.705070
2.732886 83.145674 12.200333
2.733886 81.404025 12.018164
2.734886 71.328068 11.277167
2.735886 72.951118 11.426063
2.736886 77.991134 11.837942
2.737886 64.737323 10.722035
2.738885 88.647213 12.518150
2.739885 84.634485 12.290709
2.740885 77.767489 11.713588
2.741885 94.850714 12.964204
2.742885 62.168088 10.660669
2.743885 97.625182 13.257969
2.744884 90.281809 12.685221
2.745884 95.716661 13.028308
2.746884 101.312544 13.386614
2.747884 76.953688 11.721358
2.748884 91.651067 12.825817
2.749884 84.860620 12.328557
2.750884 96.437660 13.164693
2.751883 71.965680 11.401712
2.752883 86.259141 12.484163
2.753883 85.640123 12.281659
2.754883 81.057575 11.970874
2.755883 93.017245 12.985649
2.756883 87.919328 12.543437
2.757882 71.721766 11.367503
2.758882 95.619097 13.139394
2.759882 77.151831 11.777161
2.760882 83.276724 12.215326
2.761882 85.253559 12.409975
2.762882 86.029941 12.379830
2.763881 87.142837 12.541682
2.764881 96.592780 13.147166
2.765881 94.514317 12.937059
2.766881 81.217231 12.040924
2.767881 92.271825 12.795261
2.768881 69.758715 11.121279
2.769881 87.312519 12.489912
2.770880 92.020545 12.906836
2.771880 98.738108 13.323597
2.772880 102.801325 13.633769
2.773880 106.721604 13.892468
2.774880 84.529172 12.372435
2.775880 89.057428 12.640404
2.776879 78.084574 11.817813
2.777879 85.683235 12.374728
2.778879 77.354263 11.798066
2.779879 100.541057 13.365097
2.780879 86.367569 12.435681
2.781879 97.263609 13.239079
2.782879 93.262093 12.899338
2.783878 73.974863 11.421226
2.784878 81.390548 12.034576
2.785878 78.943183 11.828340
2.786878 97.192482 13.149932
2.787878 92.002185 12.806464
2.788878 97.170429 13.198741
2.789877 90.423223 12.769212
2.790877 88.051341 12.630187
2.791877 92.657572 12.879782
2.792877 101.082375 13.481464
2.793877 83.534272 12.275463
2.794877 83.617002 12.265480
2.795877 95.622872 13.012552
2.796876 78.536459 11.661565
2.797876 70.727001 11.258996
2.798876 76.404748 11.675657
