XYDATA
! Title:  11BM APS CeO2  
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4717
! No. steps =             34500
! Scan time =             JUN 01, 2014 01:51
! Sample name =           NIST SRM 674b (CeO2)
! Composition =           Cerium(IV) oxide 
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.982 
! Monitor I0 [0] =        92926.4 
! Monitor I1 [0] =        75877.3 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Calibrated wavelength = 0.413671
! Normalization factor  = 8.3538
!  
! 2theta, intensity, sigma(intensity)
2.571911 100.240580 13.281273
2.572911 86.291166 12.347546
2.573911 79.838623 11.889677
2.574911 90.431000 12.651208
2.575911 95.032580 12.997800
2.576910 92.161936 12.756550
2.577910 93.018558 12.793167
2.578910 97.761547 13.006251
2.579910 94.349387 12.928941
2.580910 98.638327 13.224183
2.581910 87.666670 12.469589
2.582910 86.097507 12.353807
2.583909 88.509344 12.571874
2.584909 87.122896 12.411345
2.585909 94.225211 12.945183
2.586909 81.821898 12.078356
2.587909 113.367917 14.225956
2.588909 104.638396 13.659949
2.589908 86.602624 12.423918
2.590908 74.095000 11.504862
2.591908 84.661465 12.219257
2.592908 82.770246 12.007161
2.593908 84.060175 12.095019
2.594908 82.189856 11.941113
2.595908 92.877053 12.716990
2.596907 94.377757 12.972556
2.597907 100.374798 13.362772
2.598907 96.032454 13.058126
2.599907 88.100839 12.419394
2.600907 93.894777 12.940150
2.601907 113.261214 14.073372
2.602906 78.655847 11.727949
2.603906 76.150730 11.487257
2.604906 86.236184 12.239740
2.605906 79.035574 11.806904
2.606906 95.738885 12.968017
2.607906 85.949861 12.342746
2.608906 65.148751 10.691293
2.609905 80.377318 11.838084
2.610905 85.416253 12.239663
2.611905 90.910457 12.657896
2.612905 82.345550 12.014026
2.613905 59.956312 10.222497
2.614905 70.881799 11.213527
2.615904 82.241801 12.029417
2.616904 84.063182 12.202496
2.617904 93.469509 12.846069
2.618904 96.072137 12.984495
2.619904 82.520531 12.002945
2.620904 68.170894 10.901573
2.621904 79.277360 11.929694
2.622903 84.812319 12.346723
2.623903 77.864726 11.597068
2.624903 86.328082 12.168578
2.625903 91.303922 12.668385
2.626903 102.935717 13.478123
2.627903 87.324871 12.436960
2.628902 94.888488 12.976984
2.629902 94.775826 12.825356
2.630902 83.325504 12.014083
2.631902 82.275556 12.055820
2.632902 98.722378 13.186683
2.633902 97.017298 13.057437
2.634902 91.087966 12.688691
2.635901 87.912771 12.516228
2.636901 90.501290 12.596465
2.637901 76.871571 11.552939
2.638901 72.633643 11.266814
2.639901 67.607960 10.930199
2.640901 87.094666 12.403948
2.641900 92.680382 12.785144
2.642900 72.847694 11.425070
2.643900 102.937080 13.452412
2.644900 93.917546 12.961635
2.645900 96.168491 13.108357
2.646900 84.107077 12.268039
2.647899 89.810707 12.586181
2.648899 97.155359 13.059635
2.649899 91.873510 12.844825
2.650899 88.753480 12.555314
2.651899 82.359148 12.108009
2.652899 97.385318 13.060832
2.653899 67.243516 10.839058
2.654898 79.213341 11.750682
2.655898 87.411063 12.440234
2.656898 104.666823 13.622775
2.657898 70.869958 11.198240
2.658898 83.337598 12.117124
2.659898 83.138265 12.066225
2.660897 94.601359 12.881980
2.661897 90.053308 12.670990
2.662897 91.402311 12.746219
2.663897 94.267828 12.855279
2.664897 81.120960 11.924329
2.665897 84.846551 12.239492
2.666897 95.873520 13.015693
2.667896 98.159844 13.165619
2.668896 94.014409 12.829417
2.669896 92.013102 12.698133
2.670896 91.042046 12.659699
2.671896 91.624663 12.790723
2.672896 81.341956 11.887076
2.673895 82.652653 11.968885
2.674895 90.686595 12.635856
2.675895 82.640034 11.971559
2.676895 97.962079 13.152540
2.677895 94.208791 12.837064
2.678895 72.332067 11.251252
2.679895 104.986542 13.596942
2.680894 84.891029 12.288048
2.681894 92.446052 12.810721
2.682894 91.632607 12.769612
2.683894 78.763787 11.788097
2.684894 78.666270 11.804533
2.685894 78.562707 11.798633
2.686893 82.741343 12.150597
2.687893 89.258648 12.600962
2.688893 91.285635 12.714111
2.689893 99.416767 13.306471
2.690893 101.608409 13.443370
2.691893 79.020676 11.846961
2.692893 95.514698 13.054388
2.693892 87.748428 12.481655
2.694892 104.072789 13.509672
2.695892 78.988118 11.862468
2.696892 66.093259 10.806684
2.697892 88.401770 12.493669
2.698892 104.305928 13.539093
2.699891 89.244863 12.469320
2.700891 90.470827 12.634364
2.701891 84.459726 12.208531
2.702891 83.505753 12.168076
2.703891 85.480788 12.305468
2.704891 84.458958 12.052022
2.705890 70.378577 11.018276
2.706890 112.681396 14.013776
2.707890 106.848639 13.793581
2.708890 84.834226 12.302660
2.709890 84.792744 12.189711
2.710890 78.980030 11.818109
2.711890 76.433223 11.671761
2.712889 94.086731 12.864065
2.713889 100.303539 13.299071
2.714889 82.020224 12.034759
2.715889 91.171406 12.777603
2.716889 108.026498 13.868519
2.717889 79.531621 11.902039
2.718888 78.074952 11.760269
2.719888 95.031081 12.812256
2.720888 71.012227 11.044321
2.721888 95.397713 12.842235
2.722888 88.751919 12.472602
2.723888 88.933406 12.502289
2.724888 81.340428 11.950230
2.725887 84.767239 12.148932
2.726887 80.065257 11.870425
2.727887 76.311348 11.622719
2.728887 66.951175 10.863972
2.729887 60.595121 10.356960
