XYDATA
! Title: 11BM APS Cr2O3 SRM 674b
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4716
! No. steps =             34500
! Scan time =             JUN 01, 2014 00:52
! Sample name =     	   NIST SRM 674b (Cr2O3)
! Composition =            Chromium(III) oxide
! Sample Comment =         0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.984 
! Monitor I0 [0] =        92666.8 
! Monitor I1 [0] =        75642.1 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Normalization factor  = 8.3664
! Calibrated wavelength = 0.413671
!  
! 2theta, intensity, sigma(intensity)
2.442931 131.774879 15.251879
2.443931 112.254833 14.045202
2.444931 97.143655 13.049703
2.445931 115.082555 14.281653
2.446931 122.588129 14.691166
2.447931 113.131276 14.138715
2.448930 96.217646 13.101127
2.449930 110.878929 13.958451
2.450930 87.239131 12.403960
2.451930 101.942271 13.434069
2.452930 119.378008 14.586676
2.453930 115.517836 14.284082
2.454929 102.657787 13.463519
2.455929 103.830431 13.579495
2.456929 136.982304 15.524116
2.457929 112.512263 14.089308
2.458929 106.846671 13.728752
2.459929 123.349432 14.788534
2.460928 102.106712 13.416977
2.461928 107.496663 13.846597
2.462928 101.211766 13.411491
2.463928 131.181117 15.207307
2.464928 110.300883 13.817284
2.465928 120.790374 14.620740
2.466928 117.060542 14.350777
2.467927 99.093683 13.117159
2.468927 119.835009 14.550126
2.469927 108.815495 13.968663
2.470927 109.623445 13.969770
2.471927 126.396568 14.929354
2.472927 110.446730 13.989183
2.473926 99.019952 13.188615
2.474926 116.347853 14.277710
2.475926 115.739153 14.279613
2.476926 115.934489 14.312475
2.477926 104.115179 13.513889
2.478926 99.995263 13.229833
2.479926 91.321287 12.617631
2.480925 102.016455 13.382964
2.481925 83.284410 12.054958
2.482925 96.823937 13.055710
2.483925 94.166920 12.881246
2.484925 122.138786 14.637823
2.485925 116.100709 14.318502
2.486924 117.647537 14.426505
2.487924 123.184206 14.797109
2.488924 124.483884 14.844504
2.489924 116.638410 14.358936
2.490924 111.261872 14.073831
2.491924 117.570477 14.401890
2.492924 107.933304 13.727925
2.493923 101.493279 13.379511
2.494923 118.901848 14.450331
2.495923 94.912476 12.708994
2.496923 116.241897 14.336300
2.497923 113.441253 14.002879
2.498923 107.982235 13.725207
2.499922 102.714616 13.464299
2.500922 132.998610 15.346759
2.501922 109.119266 13.922267
2.502922 120.443121 14.577757
2.503922 116.545241 14.281601
2.504922 135.572682 15.442364
2.505922 138.292577 15.644825
2.506921 125.853057 14.947948
2.507921 107.060473 13.755237
2.508921 99.885887 13.187622
2.509921 134.722174 15.401535
2.510921 100.356083 13.298163
2.511921 108.080972 13.851916
2.512920 112.741604 14.144152
2.513920 84.672805 12.210565
2.514920 82.504254 12.061392
2.515920 128.055472 14.871417
2.516920 108.468474 13.813578
2.517920 92.751404 12.787804
2.518919 130.383407 15.113666
2.519919 125.935373 14.930450
2.520919 132.682992 15.259719
2.521919 100.773533 13.278654
2.522919 133.374362 15.428865
2.523919 94.905414 12.957944
2.524919 133.837715 15.297076
2.525918 121.062708 14.611449
2.526918 114.854072 14.315467
2.527918 100.441953 13.328258
2.528918 115.493229 14.255929
2.529918 85.040515 12.357702
2.530918 102.820421 13.485253
2.531917 106.916259 13.794938
2.532917 119.805432 14.497390
2.533917 104.594017 13.618580
2.534917 106.327607 13.684551
2.535917 116.813787 14.310121
2.536917 95.087671 12.965797
2.537917 113.391587 14.121142
2.538916 104.029131 13.613383
2.539916 114.649878 14.247050
2.540916 122.530463 14.775293
2.541916 117.130362 14.378064
2.542916 113.217786 14.117619
2.543916 97.347283 13.087788
2.544915 134.957650 15.386175
2.545915 119.479365 14.513584
2.546915 102.137194 13.331750
2.547915 91.353833 12.512980
2.548915 107.353266 13.772444
2.549915 97.879222 13.155506
2.550915 106.104154 13.698404
2.551914 119.304938 14.630314
2.552914 109.962957 13.986721
2.553914 106.074130 13.678831
2.554914 101.059199 13.363824
2.555914 88.473360 12.513329
2.556914 87.964518 12.450081
2.557913 102.712702 13.427419
2.558913 95.611504 12.929296
2.559913 94.576070 12.940908
2.560913 118.079060 14.399418
2.561913 131.003989 15.080030
2.562913 133.302228 15.242931
2.563913 105.416521 13.594755
2.564912 108.422982 13.782305
2.565912 100.242268 13.286408
