XYDATA
! Title: NAC /nov12/11bmb_1804
! Run no. =               1804 
! No. steps =             54000 
! Scan time =             NOV 29, 2012 18:07:11.025644 
! Sample Comment =        NAC 
! User sample name =      1.5 mm diameter 
! Composition =           Na2Ca3Al2F14
! Temp (K) =              298.0 
! Start 2theta (deg) =    -16.0 
! End 2theta (deg) =      38.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! Intensity scale =       9383.82768362 
! Calibration file =      11bmb_1800_2thcorrected.calib 
! 2Theta correction subtracted 
! Calibrated wavelength = 0.413909
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
1.24790       284.9458        17.5751
1.24890       258.3337        16.6480
1.24990       246.3922        16.3876
1.25090       258.7083        16.7710
1.25190       253.6973        16.5657
1.25290       246.6073        16.3696
1.25390       259.5849        16.7326
1.25490       277.2520        17.3280
1.25590       261.8796        16.9227
1.25690       247.9810        16.4069
1.25790       284.5346        17.5762
1.25890       283.4079        17.5268
1.25990       266.7645        17.0137
1.26090       250.2230        16.4154
1.26190       281.9078        17.5317
1.26290       269.8839        17.1170
1.26390       251.8213        16.5338
1.26490       273.1850        17.2041
1.26590       252.2223        16.5057
1.26690       250.1061        16.4669
1.26790       250.8960        16.5416
1.26890       240.7452        16.2606
1.26990       233.1128        15.8622
1.27090       250.0544        16.3975
1.27190       258.1043        16.7067
1.27290       247.7787        16.3918
1.27390       233.4741        15.8798
1.27490       259.8055        16.8085
1.27590       282.2508        17.5236
1.27690       264.2477        16.9144
1.27790       261.5657        16.8693
1.27890       238.0483        16.0488
1.27990       248.3921        16.3330
1.28090       269.4227        17.1014
1.28190       262.8181        16.9483
1.28290       274.0997        17.2680
1.28390       257.0600        16.7520
1.28490       245.8080        16.3397
1.28590       237.5366        16.0204
1.28690       277.1671        17.3387
1.28790       272.2080        17.2001
1.28890       265.8710        16.9929
1.28990       259.0052        16.7792
1.29090       249.4266        16.4587
1.29190       257.2440        16.7471
1.29290       243.3568        16.2183
1.29390       284.8097        17.5781
1.29490       261.1620        16.8249
1.29590       239.0625        16.1038
1.29690       251.0174        16.5797
1.29790       273.7584        17.2822
1.29890       288.5560        17.6865
1.29990       278.1277        17.3749
1.30090       273.7971        17.2212
1.30190       271.6296        17.1014
1.30290       241.5819        16.1236
1.30390       266.0884        16.8848
1.30490       251.3225        16.4146
1.30590       266.3313        16.9627
1.30690       251.8546        16.4140
1.30790       261.0150        16.7776
1.30890       268.2278        17.0942
1.30990       256.5314        16.7061
1.31090       235.5474        15.8651
1.31190       262.5466        16.7755
1.31289       267.6947        17.0013
1.31389       249.1375        16.4844
1.31489       262.3705        16.8269
