XYDATA
! Title: 11-BM data for Al2O3 SRM 676a
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4714 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 22:53 
! Sample name =     	  NIST SRM 676a (Al2O3) 
! Composition =           Aluminium Oxide (Al2O3)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   0.983  
! Monitor I0 [0] =        92715.5  
! Monitor I1 [0] =        75723.2  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 8.3433 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.525918 144.986928 15.955643
2.526918 119.600941 14.502629
2.527918 112.803750 14.200756
2.528918 132.731269 15.231260
2.529918 95.922284 12.905910
2.530918 101.427955 13.369002
2.531917 125.799681 14.879899
2.532917 104.596276 13.609044
2.533917 115.743686 14.320970
2.534917 100.298844 13.316259
2.535917 120.685998 14.556859
2.536917 112.986656 14.150786
2.537917 111.162090 13.946253
2.538916 112.766611 14.063380
2.539916 115.332895 14.181892
2.540916 118.920762 14.461919
2.541916 107.652202 13.758552
2.542916 115.107621 14.241299
2.543916 110.954692 13.952573
2.544915 111.328804 14.055563
2.545915 114.537942 14.183613
2.546915 119.190111 14.481424
2.547915 128.312530 15.000752
2.548915 103.469239 13.359478
2.549915 114.539395 14.128798
2.550915 117.984052 14.392517
2.551914 118.762899 14.396308
2.552914 137.792643 15.499926
2.553914 112.208214 14.036146
2.554914 102.768897 13.425897
2.555914 110.527225 13.953000
2.556914 127.700080 14.977962
2.557913 123.060916 14.694318
2.558913 119.043324 14.498873
2.559913 126.523458 14.892193
2.560913 105.653096 13.542508
2.561913 86.486027 12.307572
2.562913 105.217384 13.551343
2.563913 122.032636 14.749971
2.564912 112.718916 14.069209
2.565912 107.040435 13.761778
2.566912 119.389592 14.513785
2.567912 124.581070 14.847688
2.568912 113.796050 14.094193
2.569912 123.222033 14.782437
2.570911 111.961448 14.143215
2.571911 108.896042 13.877102
2.572911 104.935726 13.567458
2.573911 84.903154 12.221389
2.574911 98.024572 13.086363
2.575911 110.005372 13.865627
2.576910 114.919320 14.204153
2.577910 127.737523 14.984603
2.578910 123.872368 14.825096
2.579910 128.488475 15.077889
2.580910 119.021052 14.477424
2.581910 93.651185 12.771383
2.582910 130.980362 15.139220
2.583909 119.102714 14.488922
2.584909 115.928223 14.294912
2.585909 105.550483 13.573994
2.586909 90.951819 12.676229
2.587909 124.845035 14.774758
2.588909 132.241952 15.215281
2.589908 105.081740 13.515045
2.590908 108.357591 13.806316
2.591908 122.692400 14.635504
2.592908 99.091274 13.270398
2.593908 104.691737 13.557694
2.594908 121.126632 14.617687
2.595908 124.477775 14.832067
2.596907 110.903458 13.945406
2.597907 124.040815 14.726907
2.598907 115.837100 14.275333
2.599907 112.191658 14.163006
2.600907 116.340172 14.344259
2.601907 128.759778 15.046780
2.602906 111.756411 13.997587
2.603906 132.401426 15.289172
2.604906 129.487969 15.107539
2.605906 112.782329 14.088629
2.606906 108.959646 13.847268
2.607906 131.597631 15.243529
2.608906 127.574079 15.011292
2.609905 105.475118 13.721142
2.610905 114.831871 14.291652
2.611905 97.965052 13.141166
2.612905 133.176444 15.340742
2.613905 109.918394 13.893560
2.614905 116.520724 14.224248
2.615904 111.477763 14.002751
2.616904 122.069713 14.606373
2.617904 116.326309 14.291513
2.618904 120.083101 14.514602
2.619904 124.018691 14.793025
2.620904 130.030190 15.109582
2.621904 121.708833 14.589764
2.622903 125.073865 14.752172
2.623903 122.849763 14.671913
2.624903 138.555199 15.555130
2.625903 122.127125 14.652249
2.626903 99.684160 13.251115
2.627903 109.241601 13.907218
2.628902 131.561504 15.194137
2.629902 131.612985 15.206131
2.630902 142.247077 15.816300
2.631902 107.443897 13.762940
2.632902 107.595284 13.860625
2.633902 121.457112 14.654109
2.634902 115.607404 14.206869
2.635901 124.964640 14.817629
2.636901 118.420181 14.457127
2.637901 98.031155 13.025289
2.638901 105.086809 13.503919
2.639901 130.522328 15.128346
2.640901 101.087817 13.151781
2.641900 96.669953 12.883519
2.642900 104.250135 13.580349
2.643900 97.634538 13.146071
2.644900 113.603262 14.177074
2.645900 122.359505 14.621343
2.646900 108.655766 13.831181
2.647899 111.398973 14.063735
2.648899 104.485670 13.577370
2.649899 110.131213 13.835236
2.650899 133.454005 15.262080
2.651899 112.387770 14.065482
2.652899 105.879874 13.634482
2.653899 116.537968 14.309561
2.654898 118.304988 14.343257
2.655898 133.273912 15.309603
2.656898 114.547074 14.183728
2.657898 126.847475 14.990926
2.658898 111.214700 14.011195
2.659898 108.516483 13.772301
2.660897 113.774687 14.180527
2.661897 97.970853 13.216129
2.662897 145.978180 16.038915
2.663897 118.512440 14.468970
2.664897 107.379902 13.737827
2.665897 98.802206 13.157636
2.666897 118.873918 14.406158
2.667896 102.633459 13.397826
2.668896 120.158244 14.555222
2.669896 93.437888 12.735193
2.670896 117.037470 14.286836
2.671896 112.858064 14.113586
2.672896 101.808962 13.401062
2.673895 107.703991 13.792647
2.674895 99.414747 13.288215
2.675895 115.082271 14.257887
2.676895 125.038794 14.904582
2.677895 126.569755 14.912228
2.678895 117.368989 14.396576
2.679895 100.952624 13.287197
2.680894 105.460088 13.630270
2.681894 126.824165 15.002263
2.682894 122.486810 14.685992
2.683894 115.386024 14.248698
2.684894 109.231114 13.860335
2.685894 100.852128 13.335672
2.686893 110.637554 13.984031
2.687893 106.522388 13.674624
2.688893 115.494204 14.216057
2.689893 117.079494 14.414788
2.690893 111.551549 14.093586
2.691893 112.591288 14.039426
2.692893 107.496487 13.728020
2.693892 111.232125 13.950196
2.694892 102.194572 13.359474
2.695892 132.852677 15.295543
2.696892 121.228327 14.603295
2.697892 124.429144 14.729257
2.698892 98.788509 13.173497
2.699891 108.131058 13.734128
2.700891 99.585936 13.243804
2.701891 117.654808 14.428547
2.702891 127.649616 15.003843
2.703891 116.896766 14.378961
2.704891 85.486465 12.277529
2.705890 104.965632 13.510362
2.706890 78.353795 11.683279
2.707890 124.324306 14.725632
2.708890 119.452251 14.522117
2.709890 123.842634 14.775905
2.710890 113.004987 14.048846
2.711890 117.275087 14.269239
2.712889 89.580203 12.501714
2.713889 125.360617 14.862449
2.714889 112.943139 14.102198
2.715889 115.300633 14.252531
2.716889 101.691289 13.401585
2.717889 123.456811 14.785751
2.718888 128.733952 15.078765
2.719888 128.324945 15.022674
2.720888 132.286240 15.291443
2.721888 127.863499 14.935392
2.722888 103.385949 13.411369
2.723888 119.414148 14.462764
2.724888 104.008394 13.551595
2.725887 81.736702 11.911606
2.726887 126.927440 14.858220
2.727887 124.106372 14.797726
2.728887 110.955969 14.003558
2.729887 102.989827 13.484476
2.730887 99.577375 13.180187
2.731886 98.493042 13.148122
2.732886 108.556009 13.811078
2.733886 117.696054 14.489185
2.734886 97.708227 13.175545
2.735886 115.853094 14.269216
2.736886 126.759186 14.947573
2.737886 113.903968 14.187561
2.738885 113.772098 14.142156
2.739885 96.396244 12.971276
2.740885 98.392662 13.136959
2.741885 103.289712 13.453762
2.742885 106.023539 13.759234
2.743885 108.550123 13.940678
2.744884 108.791558 13.887206
2.745884 106.985086 13.741876
2.746884 120.171725 14.612403
2.747884 103.546463 13.544018
2.748884 112.971756 14.061488
2.749884 124.077889 14.732556
2.750884 129.304451 15.106137
2.751883 126.391658 14.953361
2.752883 112.566445 14.135854
2.753883 104.913353 13.546793
2.754883 108.095395 13.786262
2.755883 123.841867 14.759922
2.756883 117.284455 14.393102
2.757882 110.494185 13.912875
2.758882 107.578610 13.659041
2.759882 83.524917 12.059937
2.760882 99.004523 13.193959
2.761882 98.138559 13.228880
2.762882 94.454510 12.900765
2.763881 79.575382 11.834057
2.764881 97.997435 13.165465
2.765881 105.559253 13.625602
2.766881 100.049563 13.236179
2.767881 99.332920 13.207825
2.768881 118.937494 14.499113
2.769881 111.321680 14.069979
2.770880 112.991590 14.135626
2.771880 117.013400 14.411791
2.772880 122.009326 14.765258
2.773880 118.144382 14.519530
2.774880 107.281017 13.717910
2.775880 106.171371 13.580550
2.776879 102.207975 13.382395
2.777879 119.075243 14.431073
2.778879 109.734372 13.865517
2.779879 86.582938 12.262985
2.780879 93.780801 12.796768
2.781879 108.867361 13.827672
2.782879 105.666064 13.652895
2.783878 112.589580 13.998700
2.784878 75.973524 11.533529
2.785878 104.558940 13.540732
2.786878 119.871444 14.501981
2.787878 119.672553 14.380105
2.788878 97.430165 13.083691
2.789877 111.988696 14.046345
2.790877 103.973895 13.566250
2.791877 112.733450 14.122962
